t, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143, 144, 145, 146, 147, 148, 149, 150, 151, 152, 153, 154, 155, 156, 157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167, 168, 169, 170, 171, 172, 173, 174, 175, 176, 177, 178, 179, 180, 181, 182, 183, 184, 185, 186, 187, 188, 189, 190, 191, 
RLT DSM+, -0.558183636, -0.0047212936, -0.0, -0.0047212936, -0.526165956, -0.526165956, -0.0047212936, -0.526165956, -0.50642172, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.50642172, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.0047212936, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.1210521976, -0.1210521976, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.1089974536, -0.0047212936, -0.026366472, -0.0476302336, -0.0, -0.0476302336, -0.019226168, -0.0214824616, -0.0214824616, -0.0047212936, -0.0, -0.0212637616, -0.0, -0.0047212936, -0.03715082, -0.0394071136, -0.0047212936, -0.0047212936, -0.00266814, -0.0047212936, -0.0, -0.0239319016, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0335372056, -0.002465, -0.0047212936, -0.0047212936, -0.0308690656, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.10652246, -0.0047212936, -0.0047212936, -0.1087787536, -0.0474027856, -0.0047212936, -0.0, -0.0047212936, -0.1171049136, -0.0047212936, -0.1193612072, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0687566536, -0.0, -0.0047212936, -0.0628867456, -0.0628867456, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0201965056, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0367389736, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.0047212936, -0.0847654936, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.1100647096, -0.002465, -0.0385585576, -0.0047212936, -0.0385585576, -0.038106288, -0.0047212936, -0.0, -0.0593700496, -0.002465, -0.0047212936, -0.0047212936, -0.0839169376, -0.082397412, -0.0047212936, -0.08941088, -0.0047212936, -0.002465, -0.0047212936, -0.0047212936, -0.1036611736, -0.0, -0.0047212936, -0.08941088, -0.1036611736, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.096280488, -0.096280488, -0.0047212936, -0.08774244, -0.0047212936, -0.0047212936, -0.0047212936, -0.0, -0.0047212936, -0.0, -0.08774244, -0.002465, -0.0047212936, -0.0047212936, -0.0047212936, 
RLT DSM-, 0.0, 0.0, 0.009529, 0.0, 0.523700956, 0.5214446624, 0.0, 0.5214446624, 0.522964188, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.5017004264, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0022562936, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.116330904, 0.116330904, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.10427616, 0.0, 0.04290894, 0.04290894, 0.009529, 0.04290894, 0.016761168, 0.016761168, 0.016761168, 0.0, 0.016542468, 0.016542468, 0.009529, 0.0, 0.03468582, 0.03468582, 0.0, 0.0, 0.019210608, 0.0, 0.009529, 0.019210608, 0.0, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.028815912, 0.0, 0.0, 0.0, 0.026147772, 0.016542468, 0.0, 0.009529, 0.0, 0.10405746, 0.0, 0.0, 0.10405746, 0.0639452536, 0.0, 0.009529, 0.0, 0.1146399136, 0.0, 0.1146399136, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016542468, 0.06403536, 0.009529, 0.0, 0.0604217456, 0.058165452, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0367389736, 0.0, 0.009529, 0.0, 0.0, 0.03201768, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0, 0.0823004936, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.105343416, 0.0, 0.033837264, 0.0, 0.033837264, 0.054648756, 0.0, 0.009529, 0.054648756, 0.0, 0.0, 0.0, 0.079195644, 0.09893988, 0.0, 0.09893988, 0.0, 0.0, 0.0, 0.0, 0.09893988, 0.016542468, 0.0, 0.09893988, 0.09893988, 0.0, 0.0, 0.0, 0.0, 0.016542468, 0.0915591944, 0.105809488, 0.0, 0.08527744, 0.0, 0.0, 0.0, 0.016542468, 0.0, 0.009529, 0.0830211464, 0.0, 0.0, 0.0, 0.0, 
