t,fcr_price
0,3.9369634069139766e-11
1,3.9369634069139766e-11
2,3.9369634069139766e-11
3,3.9369634069139766e-11
4,3.9369634069139766e-11
5,3.9369634069139766e-11
6,3.9369634069139766e-11
7,3.9369634069139766e-11
8,3.9369634069139766e-11
9,3.9369634069139766e-11
10,3.9369634069139766e-11
11,3.9369634069139766e-11
12,3.9369634069139766e-11
13,3.9369634069139766e-11
14,3.9369634069139766e-11
15,3.9369634069139766e-11
16,3.9369634069139766e-11
17,3.9369634069139766e-11
18,3.9369634069139766e-11
19,3.9369634069139766e-11
20,3.9369634069139766e-11
21,3.9369634069139766e-11
22,3.9369634069139766e-11
23,3.9369634069139766e-11
24,3.9369634069139766e-11
25,3.9369634069139766e-11
26,3.9369634069139766e-11
27,3.9369634069139766e-11
28,3.9369634069139766e-11
29,3.9369634069139766e-11
30,3.9369634069139766e-11
31,3.9369634069139766e-11
32,3.9369634069139766e-11
33,3.9369634069139766e-11
34,3.9369634069139766e-11
35,3.9369634069139766e-11
36,3.9369634069139766e-11
37,3.9369634069139766e-11
38,3.9369634069139766e-11
39,3.9369634069139766e-11
40,3.9369634069139766e-11
41,3.9369634069139766e-11
42,3.9369634069139766e-11
43,3.9369634069139766e-11
44,3.9369634069139766e-11
45,3.9369634069139766e-11
46,3.9369634069139766e-11
47,3.9369634069139766e-11
48,3.9369634069139766e-11
49,3.9369634069139766e-11
50,3.9369634069139766e-11
51,3.9369634069139766e-11
52,3.9369634069139766e-11
53,3.9369634069139766e-11
54,3.9369634069139766e-11
55,3.9369634069139766e-11
56,3.9369634069139766e-11
57,3.9369634069139766e-11
58,3.9369634069139766e-11
59,3.9369634069139766e-11
60,3.9369634069139766e-11
61,3.9369634069139766e-11
62,3.9369634069139766e-11
63,3.9369634069139766e-11
64,3.9369634069139766e-11
65,3.9369634069139766e-11
66,3.9369634069139766e-11
67,3.9369634069139766e-11
68,3.9369634069139766e-11
69,3.9369634069139766e-11
70,3.9369634069139766e-11
71,3.9369634069139766e-11
72,3.9369634069139766e-11
73,3.9369634069139766e-11
74,3.9369634069139766e-11
75,3.9369634069139766e-11
76,3.9369634069139766e-11
77,3.9369634069139766e-11
78,3.9369634069139766e-11
79,3.9369634069139766e-11
80,3.9369634069139766e-11
81,3.9369634069139766e-11
82,3.9369634069139766e-11
83,3.9369634069139766e-11
84,3.9369634069139766e-11
85,3.9369634069139766e-11
86,3.9369634069139766e-11
87,3.9369634069139766e-11
88,3.9369634069139766e-11
89,3.9369634069139766e-11
90,3.9369634069139766e-11
91,3.9369634069139766e-11
92,3.9369634069139766e-11
93,3.9369634069139766e-11
94,3.9369634069139766e-11
95,3.9369634069139766e-11
96,3.9369634069139766e-11
97,3.9369634069139766e-11
98,3.9369634069139766e-11
99,3.9369634069139766e-11
100,3.9369634069139766e-11
101,3.9369634069139766e-11
102,3.9369634069139766e-11
103,3.9369634069139766e-11
104,3.9369634069139766e-11
105,3.9369634069139766e-11
106,3.9369634069139766e-11
107,3.9369634069139766e-11
108,3.9369634069139766e-11
109,3.9369634069139766e-11
110,3.9369634069139766e-11
111,3.9369634069139766e-11
112,3.9369634069139766e-11
113,3.9369634069139766e-11
114,3.9369634069139766e-11
115,3.9369634069139766e-11
116,3.9369634069139766e-11
117,3.9369634069139766e-11
118,3.9369634069139766e-11
119,3.9369634069139766e-11
120,3.9369634069139766e-11
121,3.9369634069139766e-11
122,3.9369634069139766e-11
123,3.9369634069139766e-11
124,3.9369634069139766e-11
125,3.9369634069139766e-11
126,3.9369634069139766e-11
127,3.9369634069139766e-11
128,3.9369634069139766e-11
129,3.9369634069139766e-11
130,3.9369634069139766e-11
131,3.9369634069139766e-11
132,3.9369634069139766e-11
133,3.9369634069139766e-11
134,3.9369634069139766e-11
135,3.9369634069139766e-11
136,3.9369634069139766e-11
137,3.9369634069139766e-11
138,3.9369634069139766e-11
139,3.9369634069139766e-11
140,3.9369634069139766e-11
141,3.9369634069139766e-11
142,3.9369634069139766e-11
143,3.9369634069139766e-11
144,3.9369634069139766e-11
145,3.9369634069139766e-11
146,3.9369634069139766e-11
147,3.9369634069139766e-11
148,3.9369634069139766e-11
149,3.9369634069139766e-11
150,3.9369634069139766e-11
151,3.9369634069139766e-11
152,3.9369634069139766e-11
153,3.9369634069139766e-11
154,3.9369634069139766e-11
155,3.9369634069139766e-11
156,3.9369634069139766e-11
157,3.9369634069139766e-11
158,3.9369634069139766e-11
159,3.9369634069139766e-11
160,3.9369634069139766e-11
161,3.9369634069139766e-11
162,3.9369634069139766e-11
163,3.9369634069139766e-11
164,3.9369634069139766e-11
165,3.9369634069139766e-11
166,3.9369634069139766e-11
167,3.9369634069139766e-11
168,3.9369634069139766e-11
169,3.9369634069139766e-11
170,3.9369634069139766e-11
171,3.9369634069139766e-11
172,3.9369634069139766e-11
173,3.9369634069139766e-11
174,3.9369634069139766e-11
175,3.9369634069139766e-11
176,3.9369634069139766e-11
177,3.9369634069139766e-11
178,3.9369634069139766e-11
179,3.9369634069139766e-11
180,3.9369634069139766e-11
181,3.9369634069139766e-11
182,3.9369634069139766e-11
183,3.9369634069139766e-11
184,3.9369634069139766e-11
185,3.9369634069139766e-11
186,3.9369634069139766e-11
187,3.9369634069139766e-11
188,3.9369634069139766e-11
189,3.9369634069139766e-11
190,3.9369634069139766e-11
191,3.9369634069139766e-11
192,3.9369634069139766e-11
