date_from,price
2014-12-29 00:00:00,176.8449435192115
2014-12-29 04:00:00,158.26870139385224
2014-12-29 08:00:00,154.87482214532318
2014-12-29 12:00:00,151.59434178628146
2014-12-29 16:00:00,182.206694857527
2014-12-29 20:00:00,138.7305135728683
2014-12-30 00:00:00,169.7549073308691
2014-12-30 04:00:00,156.65464249719147
2014-12-30 08:00:00,154.31012643412512
2014-12-30 12:00:00,147.36004269674456
2014-12-30 16:00:00,193.10687822545563
2014-12-30 20:00:00,148.91190299944236
2014-12-31 00:00:00,148.60404745317246
2014-12-31 04:00:00,136.22786716406398
2014-12-31 08:00:00,131.8672126707186
2014-12-31 12:00:00,119.97642311297966
2014-12-31 16:00:00,161.84978383819106
2014-12-31 20:00:00,118.47178493319834
2015-01-01 00:00:00,132.0390529484271
2015-01-01 04:00:00,124.00652587369704
2015-01-01 08:00:00,122.33563124151533
2015-01-01 12:00:00,139.49892583521043
2015-01-01 16:00:00,148.76925436560703
2015-01-01 20:00:00,108.09899553430134
2015-01-02 00:00:00,121.70006726969544
2015-01-02 04:00:00,114.10586830530221
2015-01-02 08:00:00,114.66237612868275
2015-01-02 12:00:00,93.544762872371
2015-01-02 16:00:00,134.8305624604686
2015-01-02 20:00:00,94.56624473019939
2015-01-03 00:00:00,119.81425440560959
2015-01-03 04:00:00,118.74433011771487
2015-01-03 08:00:00,112.73616026712503
2015-01-03 12:00:00,127.82767250118378
2015-01-03 16:00:00,137.44481741806518
2015-01-03 20:00:00,99.52119789394442
2015-01-04 00:00:00,165.21242757712534
2015-01-04 04:00:00,159.61718841885954
2015-01-04 08:00:00,151.92293828109482
2015-01-04 12:00:00,214.4702287882908
2015-01-04 16:00:00,178.8081331944638
2015-01-04 20:00:00,124.26712486814138
2015-01-05 00:00:00,141.2423146094655
2015-01-05 04:00:00,126.40586306994737
2015-01-05 08:00:00,123.69524352364859
2015-01-05 12:00:00,121.07519327102938
2015-01-05 16:00:00,145.52463195659286
2015-01-05 20:00:00,110.80112585669225
2015-01-06 00:00:00,135.57965272059124
2015-01-06 04:00:00,125.11674838030062
2015-01-06 08:00:00,123.24423300724676
2015-01-06 12:00:00,117.6933481797674
2015-01-06 16:00:00,154.23037778068303
2015-01-06 20:00:00,118.93278616844687
2015-01-07 00:00:00,118.6869084574124
2015-01-07 04:00:00,108.8023151223034
2015-01-07 08:00:00,105.31955264351441
2015-01-07 12:00:00,95.82263061539513
2015-01-07 16:00:00,129.26599784779467
2015-01-07 20:00:00,94.62090793713828
2015-01-08 00:00:00,105.45679783743223
2015-01-08 04:00:00,99.04138841932343
2015-01-08 08:00:00,97.7068802302768
2015-01-08 12:00:00,111.41484047214976
2015-01-08 16:00:00,118.81885572283821
2015-01-08 20:00:00,86.3363805172317
2015-01-09 00:00:00,97.19926873358463
2015-01-09 04:00:00,91.13394270282267
2015-01-09 08:00:00,91.57841372646831
2015-01-09 12:00:00,74.71222283633988
2015-01-09 16:00:00,107.68631742045751
2015-01-09 20:00:00,75.52805878313123
2015-01-10 00:00:00,95.69310990007038
2015-01-10 04:00:00,94.83858400935574
2015-01-10 08:00:00,90.03998587374139
2015-01-10 12:00:00,102.09325738084536
2015-01-10 16:00:00,109.77426754129374
2015-01-10 20:00:00,79.4854750354812
2015-01-11 00:00:00,131.9516702534776
2015-01-11 04:00:00,127.48287112481536
2015-01-11 08:00:00,121.33763633881746
2015-01-11 12:00:00,171.29283385809117
2015-01-11 16:00:00,142.81027266487868
2015-01-11 20:00:00,99.24952332229405
2015-01-12 00:00:00,136.1200807988274
2015-01-12 04:00:00,121.82168171133641
2015-01-12 08:00:00,119.20936434258421
2015-01-12 12:00:00,116.68433171996237
2015-01-12 16:00:00,140.24709744330067
2015-01-12 20:00:00,106.7828592721408
2015-01-13 00:00:00,130.66277860166878
2015-01-13 04:00:00,120.57931750767084
2015-01-13 08:00:00,118.77470998207274
2015-01-13 12:00:00,113.42513118686061
2015-01-13 16:00:00,148.63712438576337
2015-01-13 20:00:00,114.61962024370362
2015-01-14 00:00:00,114.38265942933872
2015-01-14 04:00:00,104.8565365591573
2015-01-14 08:00:00,101.50007846565542
2015-01-14 12:00:00,92.3475677794483
2015-01-14 16:00:00,124.57809205573345
2015-01-14 20:00:00,91.18942626559391
2015-01-15 00:00:00,101.63234638364445
2015-01-15 04:00:00,95.44959547953255
2015-01-15 08:00:00,94.1634839978424
2015-01-15 12:00:00,107.3743171739352
2015-01-15 16:00:00,114.50982155126094
2015-01-15 20:00:00,83.20534199951653
2015-01-16 00:00:00,93.67428132415924
2015-01-16 04:00:00,87.82891783191283
2015-01-16 08:00:00,88.25726985813579
2015-01-16 12:00:00,72.00274108550356
2015-01-16 16:00:00,103.78101115611788
2015-01-16 20:00:00,72.78899027224965
2015-01-17 00:00:00,92.22274420739147
2015-01-17 04:00:00,91.39920818980082
2015-01-17 08:00:00,86.7746339767048
2015-01-17 12:00:00,98.39078665710872
2015-01-17 16:00:00,105.79324056440811
2015-01-17 20:00:00,76.60288854709688
2015-01-18 00:00:00,127.16636700627892
2015-01-18 04:00:00,122.85963144938039
2015-01-18 08:00:00,116.93725713888647
2015-01-18 12:00:00,165.08080067572692
2015-01-18 16:00:00,137.63117595315242
2015-01-18 20:00:00,95.65018225048539
2015-01-19 00:00:00,137.1780030960284
2015-01-19 04:00:00,122.76847716288641
2015-01-19 08:00:00,120.13585692055706
2015-01-19 12:00:00,117.59119979950006
2015-01-19 16:00:00,141.337094823792
2015-01-19 20:00:00,107.61277332390978
2015-01-20 00:00:00,131.67828686529697
