Timestamp;Revenue
03.08.2015;1056,234068
04.08.2015;1684,902642
05.08.2015;495,8876449
06.08.2015;1133,800374
07.08.2015;230,1432643
08.08.2015;936,6627349
09.08.2015;622,9292453
10.08.2015;1073,674748
11.08.2015;1142,424007
12.08.2015;92,89288794
13.08.2015;362,3548998
14.08.2015;1021,243251
15.08.2015;893,4382769
16.08.2015;1137,712807
17.08.2015;1179,357179
18.08.2015;842,2113188
19.08.2015;923,0809263
20.08.2015;570,8131205
21.08.2015;257,0910768
22.08.2015;736,1760105
23.08.2015;2009,638396
24.08.2015;2221,421087
25.08.2015;875,4641971
26.08.2015;988,5371073
27.08.2015;1900,401354
28.08.2015;820,9426606
29.08.2015;78,18343838
30.08.2015;354,7362809
31.08.2015;3056,117522
01.09.2015;2427,829219
02.09.2015;986,8741216
03.09.2015;1004,180229
04.09.2015;828,2507962
05.09.2015;1915,198814
06.09.2015;2614,394814
07.09.2015;1108,582
08.09.2015;512,6829663
09.09.2015;808,2590753
10.09.2015;937,3299294
11.09.2015;420,4728859
12.09.2015;1185,439884
13.09.2015;1301,435492
14.09.2015;875,1014851
15.09.2015;1112,894206
16.09.2015;977,647524
17.09.2015;1831,461682
18.09.2015;60,13390469
19.09.2015;229,5700816
20.09.2015;536,9325526
21.09.2015;-15,68384912
22.09.2015;1041,06295
23.09.2015;692,9967804
24.09.2015;973,1557959
25.09.2015;-26,35940562
26.09.2015;101,7884998
27.09.2015;1368,015314
28.09.2015;326,7116672
29.09.2015;904,4069256
30.09.2015;142,592044
01.10.2015;422,0903102
02.10.2015;2511,824772
03.10.2015;295,9456553
04.10.2015;290,4426897
05.10.2015;456,1565124
06.10.2015;1989,631006
07.10.2015;1376,9731
08.10.2015;671,8478038
09.10.2015;399,4587039
10.10.2015;849,0301711
11.10.2015;799,2256129
12.10.2015;363,3568584
13.10.2015;2703,810267
14.10.2015;2404,489913
15.10.2015;2123,050459
16.10.2015;991,8529106
17.10.2015;245,1887559
18.10.2015;237,0006769
19.10.2015;-55,05054713
20.10.2015;938,1993714
21.10.2015;102,5097566
22.10.2015;1282,819888
23.10.2015;1006,900402
24.10.2015;772,855706
25.10.2015;197,7344359
26.10.2015;769,0340617
27.10.2015;743,1376028
28.10.2015;628,3282534
29.10.2015;821,3682693
30.10.2015;884,3972025
31.10.2015;819,3917445
01.11.2015;283,6832893
02.11.2015;270,4638593
03.11.2015;596,5674505
04.11.2015;818,6079243
05.11.2015;148,3555421
06.11.2015;592,7971459
07.11.2015;1891,53019
08.11.2015;1372,245287
